ID,Form_ID,Cognateset_ID
1913-1,1913,9-i
1913-1,1913,9-i
1913-1,1913,9-i
1914-1,1914,9-i
1915-1,1915,5-a
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1943-1,1943,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1951-1,1951,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
1956-1,1956,5-b
3484-1,3484,NA
3484-1,3484,NA
3484-1,3484,NA
3484-1,3484,NA
3484-1,3484,NA
3484-1,3484,NA
3484-1,3484,NA
1999-1,1999,58-a
1996-1,1996,58-a
1966-1,1966,58-a
1999-1,1999,58-a
2004-1,2004,58-a
1969-1,1969,58-a
2004-1,2004,58-a
1971-1,1971,58-a
2004-1,2004,58-a
1983-1,1983,58-a
1983-1,1983,58-a
1996-1,1996,58-a
1976-1,1976,58-a
1977-1,1977,58-a
1999-1,1999,58-a
1999-1,1999,58-a
1999-1,1999,58-a
1983-1,1983,58-a
1996-1,1996,58-a
1983-1,1983,58-a
1984-1,1984,58-a
1999-1,1999,58-a
1999-1,1999,58-a
1996-1,1996,58-a
1999-1,1999,58-a
1999-1,1999,58-a
1999-1,1999,58-a
1999-1,1999,58-a
1999-1,1999,58-a
1993-1,1993,58-a
1994-1,1994,58-a
2004-1,2004,58-a
1996-1,1996,58-a
1999-1,1999,58-a
1999-1,1999,58-a
1999-1,1999,58-a
2006-1,2006,58-a
2001-1,2001,58-a
2006-1,2006,58-a
2003-1,2003,58-a
2004-1,2004,58-a
2005-1,2005,58-a
2006-1,2006,58-a
2007-1,2007,58-b
2008-1,2008,58-c
2720-1,2720,58-c
2010-1,2010,58-c
2011-1,2011,58-c
2012-1,2012,58-c
2013-1,2013,58-d
2579-1,2579,58-e
2015-1,2015,58-f
2038-1,2038,59-a
2038-1,2038,59-a
2019-1,2019,59-a
2019-1,2019,59-a
2020-1,2020,59-a
2038-1,2038,59-a
2038-1,2038,59-a
2038-1,2038,59-a
2038-1,2038,59-a
2025-1,2025,59-a
2039-1,2039,59-a
2027-1,2027,59-a
2039-1,2039,59-a
2038-1,2038,59-a
2039-1,2039,59-a
2038-1,2038,59-a
2038-1,2038,59-a
2033-1,2033,59-a
2034-1,2034,59-a
2035-1,2035,59-a
2039-1,2039,59-a
2039-1,2039,59-a
2038-1,2038,59-a
2039-1,2039,59-a
2040-1,2040,59-a
2041-1,2041,59-a
2042-1,2042,59-a
2043-1,2043,59-a
2044-1,2044,?
2045-1,2045,59-b
2046-1,2046,59-c
2047-1,2047,59-d
2048-1,2048,59-e
2049-1,2049,59-f
2057-1,2057,59-g
2051-1,2051,59-g
2057-1,2057,59-g
2057-1,2057,59-g
2054-1,2054,59-g
2057-1,2057,59-g
2057-1,2057,59-g
2057-1,2057,59-g
2058-1,2058,59-g
2059-1,2059,59-g
2060-1,2060,59-g
2061-1,2061,59-g
2062-1,2062,59-h
2063-1,2063,59-h
2064-1,2064,59-h
2065-1,2065,59-h
3383-1,3383,59-i
2069-1,2069,59-j
2069-1,2069,59-j
2069-1,2069,59-j
2070-1,2070,59-j
2071-1,2071,59-j
2072-1,2072,59-j
2073-1,2073,59-k
2074-1,2074,NA
2075-1,2075,NA
2076-1,2076,45-a
2077-1,2077,45-a
2078-1,2078,45-a
2079-1,2079,45-b
2080-1,2080,45-b
2081-1,2081,45-b
2082-1,2082,45-b
2083-1,2083,45-b
2084-1,2084,45-b
2085-1,2085,45-b
2086-1,2086,45-b
2087-1,2087,45-b
2088-1,2088,45-c
2089-1,2089,45-c
2090-1,2090,45-c
2091-1,2091,45-c
2092-1,2092,45-d
2093-1,2093,45-e
2094-1,2094,45-e
2095-1,2095,45-f
2096-1,2096,45-f
2097-1,2097,45-f
2098-1,2098,45-f
2099-1,2099,45-g
2100-1,2100,45-h
2101-1,2101,45-i
2102-1,2102,45-i
2103-1,2103,45-j
2104-1,2104,45-k
2114-1,2114,45-k
2113-1,2113,45-k
2108-1,2108,45-k
2108-1,2108,45-k
2109-1,2109,45-k
2114-1,2114,45-k
2114-1,2114,45-k
2114-1,2114,45-k
2113-1,2113,45-k
2114-1,2114,45-k
2128-1,2128,45-k
2128-1,2128,45-k
2128-1,2128,45-k
2128-1,2128,45-k
2128-1,2128,45-k
2120-1,2120,45-k
2128-1,2128,45-k
2128-1,2128,45-k
2128-1,2128,45-k
2128-1,2128,45-k
2129-1,2129,45-k
2128-1,2128,45-k
2127-1,2127,45-k
2128-1,2128,45-k
2129-1,2129,45-k
2131-1,2131,45-k
2131-1,2131,45-k
2132-1,2132,45-l
2133-1,2133,45-m
2134-1,2134,45-m
2135-1,2135,45-n
2141-1,2141,45-n
2137-1,2137,45-n
2141-1,2141,45-n
2139-1,2139,45-n
2141-1,2141,45-n
2141-1,2141,45-n
2142-1,2142,NA
2143-1,2143,NA
3484-1,3484,NA
2707-1,2707,41-a
2706-1,2706,41-a
2188-1,2188,41-b
2188-1,2188,41-b
2194-1,2194,41-b
2150-1,2150,41-b
2151-1,2151,41-b
2152-1,2152,41-b
2188-1,2188,41-b
2154-1,2154,41-b
2155-1,2155,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2168-1,2168,41-b
2183-1,2183,41-b
2183-1,2183,41-b
2171-1,2171,41-b
2183-1,2183,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2181-1,2181,41-b
2182-1,2182,41-b
2183-1,2183,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2188-1,2188,41-b
2195-1,2195,41-b
2195-1,2195,41-b
2195-1,2195,41-b
2195-1,2195,41-b
2193-1,2193,41-b
2194-1,2194,41-b
2195-1,2195,41-b
2196-1,2196,41-c
2197-1,2197,41-d
2237-1,2237,13-a
2237-1,2237,13-a
2223-1,2223,13-a
2201-1,2201,13-a
2237-1,2237,13-a
2203-1,2203,13-a
2204-1,2204,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2243-1,2243,13-a
2243-1,2243,13-a
2243-1,2243,13-a
2237-1,2237,13-a
2213-1,2213,13-a
2230-1,2230,13-a
2237-1,2237,13-a
2216-1,2216,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2221-1,2221,13-a
2222-1,2222,13-a
2223-1,2223,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2230-1,2230,13-a
2231-1,2231,13-a
2243-1,2243,13-a
2243-1,2243,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2237-1,2237,13-a
2238-1,2238,13-a
2239-1,2239,13-a
2242-1,2242,13-a
2242-1,2242,13-a
2242-1,2242,13-a
2243-1,2243,13-a
2244-1,2244,13-a
2245-1,2245,13-a
2246-1,2246,13-a
2247-1,2247,43-a
2252-1,2252,43-b
2293-1,2293,43-b
2261-1,2261,43-b
2252-1,2252,43-b
2252-1,2252,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2261-1,2261,43-b
2293-1,2293,43-b
